Scenario,R_MAE,B_MAE,F_MAE,R_Ov,B_Ov,F_Ov,R_SS,B_SS,F_SS,R_dU,B_dU,F_dU,R_PeakU,B_PeakU,F_PeakU
1. Plant1 基本阶跃,0.00491794954330833,0.00490239694826403,0.00146146089769987,2.20683357744036,2.23473969334471,4.26690095242059,0,0,0,0.00250317859253453,0.00251881477221771,0.00575263347447467,0.454291246815641,0.455277895523004,0.725005458263081
2. Plant1 正弦低频 (f=0.005),0.0362325401590868,0.0352809825211021,0.0153502602615442,7.99700449996982,7.83229151251511,3.01325138086725,0.0302480542822261,0.0291280447359484,0.0142170910320915,0.0111163570040885,0.0111232712328192,0.0160741651318416,0.948957939515679,0.949012998626243,0.946726107989317
3. Plant1 正弦高频 (f=0.02),0.135514274717239,0.135514274717239,0.0463334745109453,41.5251298102985,41.5251298102985,12,0.128300749015389,0.128300749015389,0.0446740923502467,0.0408278973777517,0.0408278973777517,0.0425803640743737,0.939650839686889,0.939650839686889,1.0382445720488
4. Plant1 斜坡跟踪 (0→1),0.0223386412786557,0.0225248669662431,0.0011545479849659,48.1138273396348,48.074480994195,1.43872967228638,8.88178419700125e-16,8.88178419700125e-16,5.55111512312578e-17,0.00131924645736052,0.00131252037893012,0.000679153008155217,0.399999999999999,0.399999999999999,0.4
5. Plant1 参数摄动,0.00608348733969785,0.00605877035641407,0.00287342040144329,18,18,18,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.00431740775277225,0.00436377637663031,0.00710502671296376,0.594951356612866,0.595854482638976,0.725005458263081
6. Plant1 输出扰动,0.0053562152063312,0.00534688326990834,0.0017751115099572,2.48186711207057,2.66156222156815,4.38995370827611,0,0,5.55111512312578e-17,0.00613870700005,0.00625198134739963,0.00989372647917609,0.454291246815641,0.455277895523004,0.725005458263081
7. Plant1 量测噪声,0.00977742336688338,0.00974599033309283,0.00723090479471228,2.63514925181929,2.63900008363613,5.47743516516754,0.00461901048776276,0.00459333607102823,0.00603863680266701,0.00387499263904955,0.00395705699472951,0.0100659907421891,0.459264929370183,0.460131223804779,0.716252032311252
8. Plant2 基本阶跃,0.0119710959306261,0.0119710959306261,0.00528198216055104,4.84661557775823e-05,4.84661557775823e-05,0.000546155313640995,0,0,0,0.00412702349169576,0.00412702349169576,0.0299410349398247,0.78916603224591,0.78916603224591,1.75705512036833
9. Plant2 正弦低频 (f=0.005),0.0147375312104436,0.0169652146685437,0.00362537042611616,1.56110780980242,1.82879794818605,0.419377147214761,0.00632612616521191,0.00817632181062749,0.00266817533921571,0.0299841938905348,0.0313543153917175,0.0280305867962751,1.43691937711523,1.41905497249573,1.6940515838399
10. Plant2 正弦高频 (f=0.02),0.0569919418623133,0.0569919418623133,0.0231887756105306,11.656751046131,11.656751046131,3.34742803532495,0.0465633967983104,0.0465633967983104,0.0213244168449127,0.393561547655601,0.393561547655601,0.0657617747912664,2.12271398139419,2.12271398139419,2.32417889267761
